"id","time","probability"
"polymarket-0xda2cef9f","2023-06-26T14:38:57.799Z",0.23
"polymarket-0xda2cef9f","2023-06-27T10:29:08.894Z",0.2
"polymarket-0xda2cef9f","2023-06-27T11:54:50.937Z",0.2
"polymarket-0xda2cef9f","2023-06-28T07:19:01.270Z",0.2
"polymarket-0xda2cef9f","2023-06-29T08:16:35.816Z",0.205
"polymarket-0xda2cef9f","2023-06-30T10:44:25.396Z",0.2
"polymarket-0xda2cef9f","2023-07-01T12:39:11.385Z",0.175
"polymarket-0xda2cef9f","2023-07-02T13:35:29.387Z",0.175
"polymarket-0xda2cef9f","2023-07-03T12:00:33.191Z",0.175
"polymarket-0xda2cef9f","2023-07-04T13:17:25.282Z",0.175
"polymarket-0xda2cef9f","2023-07-05T11:38:30.715Z",0.195
"polymarket-0xda2cef9f","2023-07-06T11:55:10.099Z",0.195
"polymarket-0xda2cef9f","2023-07-07T11:43:31.594Z",0.17
"polymarket-0xda2cef9f","2023-07-08T07:47:24.801Z",0.135
"polymarket-0xda2cef9f","2023-07-09T11:24:34.882Z",0.135
"polymarket-0xda2cef9f","2023-07-10T11:39:24.458Z",0.13
"polymarket-0xda2cef9f","2023-07-11T08:50:39.487Z",0.125
"polymarket-0xda2cef9f","2023-07-12T08:58:53.073Z",0.145
"polymarket-0xda2cef9f","2023-07-13T09:11:40.738Z",0.115
"metaculus-13531","2023-01-23T06:38:22.839Z",0.3
"metaculus-13531","2023-01-24T06:40:23.610Z",0.25
"metaculus-13531","2023-01-25T06:41:00.869Z",0.24
"metaculus-13531","2023-01-26T06:43:37.614Z",0.27
"metaculus-13531","2023-01-27T06:39:05.251Z",0.3
"metaculus-13531","2023-01-28T06:44:33.358Z",0.25
"metaculus-13531","2023-01-29T06:42:21.633Z",0.25
"metaculus-13531","2023-01-30T06:48:27.599Z",0.27
"metaculus-13531","2023-01-31T06:47:18.854Z",0.3
"metaculus-13531","2023-02-01T06:54:02.801Z",0.3
"metaculus-13531","2023-02-02T07:30:31.749Z",0.3
"metaculus-13531","2023-02-03T06:58:54.326Z",0.3
"metaculus-13531","2023-02-04T06:55:31.090Z",0.3
"metaculus-13531","2023-02-05T06:51:48.378Z",0.3
"metaculus-13531","2023-02-06T06:53:29.067Z",0.3
"metaculus-13531","2023-02-07T07:00:21.076Z",0.3
"metaculus-13531","2023-02-08T06:49:53.183Z",0.3
"metaculus-13531","2023-02-09T06:53:04.857Z",0.3
"metaculus-13531","2023-02-10T07:02:07.516Z",0.3
"metaculus-13531","2023-02-11T06:53:10.128Z",0.3
"metaculus-13531","2023-02-12T06:46:31.740Z",0.3
"metaculus-13531","2023-02-13T07:02:17.158Z",0.31
"metaculus-13531","2023-02-14T07:01:42.114Z",0.31
"metaculus-13531","2023-02-15T07:09:24.133Z",0.31
"metaculus-13531","2023-02-16T06:53:21.373Z",0.32
"metaculus-13531","2023-02-17T06:41:40.981Z",0.31
