"id","time","probability"
"goodjudgmentopen-2617","2022-11-12T03:08:02.643Z",0.2789
"goodjudgmentopen-2617","2022-11-13T03:08:08.196Z",0.2828
"goodjudgmentopen-2617","2022-11-14T03:07:59.219Z",0.2649
"goodjudgmentopen-2617","2022-11-15T03:07:57.318Z",0.2647
"goodjudgmentopen-2617","2022-11-16T03:07:52.406Z",0.2248
"goodjudgmentopen-2617","2022-11-17T03:08:00.506Z",0.2141
"goodjudgmentopen-2617","2022-11-18T03:08:09.346Z",0.1805
"goodjudgmentopen-2617","2022-11-19T03:08:18.483Z",0.1747
"goodjudgmentopen-2617","2022-11-20T03:07:53.832Z",0.1837
"goodjudgmentopen-2617","2022-11-21T03:08:11.216Z",0.2238
"goodjudgmentopen-2617","2022-11-22T03:08:02.761Z",0.2598
"goodjudgmentopen-2617","2022-11-23T03:08:16.810Z",0.2711
"goodjudgmentopen-2617","2022-11-24T03:08:08.769Z",0.2644
"goodjudgmentopen-2617","2022-11-25T03:07:59.430Z",0.2834
"goodjudgmentopen-2617","2022-11-26T03:08:50.354Z",0.2916
"goodjudgmentopen-2617","2022-11-27T03:08:40.291Z",0.293
"goodjudgmentopen-2617","2022-11-28T03:09:04.208Z",0.2905
"goodjudgmentopen-2617","2022-11-29T03:08:30.897Z",0.2804
"goodjudgmentopen-2617","2023-01-20T21:55:38.138Z",0.1699
"goodjudgmentopen-2617","2023-01-21T03:08:01.157Z",0.1736
"goodjudgmentopen-2617","2023-01-22T03:07:39.663Z",0.1728
"goodjudgmentopen-2617","2023-01-23T03:07:47.857Z",0.1763
"goodjudgmentopen-2617","2023-01-24T03:08:10.848Z",0.1775
"goodjudgmentopen-2617","2023-01-25T03:07:31.121Z",0.1843
"goodjudgmentopen-2617","2023-01-26T03:07:35.368Z",0.1844
"goodjudgmentopen-2617","2023-01-27T03:07:22.077Z",0.1885
"goodjudgmentopen-2617","2023-01-28T03:08:29.457Z",0.1911
"goodjudgmentopen-2617","2023-01-29T03:07:37.690Z",0.1949
"goodjudgmentopen-2617","2023-01-30T03:07:46.628Z",0.1996
"goodjudgmentopen-2617","2023-01-31T03:08:18.562Z",0.1989
"goodjudgmentopen-2617","2023-02-01T03:07:59.168Z",0.1993
"goodjudgmentopen-2617","2023-02-02T03:08:21.386Z",0.2053
"goodjudgmentopen-2617","2023-02-03T03:08:22.967Z",0.1991
"goodjudgmentopen-2617","2023-02-04T03:08:29.158Z",0.2029
"goodjudgmentopen-2617","2023-02-05T03:08:57.692Z",0.2007
"goodjudgmentopen-2617","2023-02-06T03:08:10.049Z",0.1951
"goodjudgmentopen-2617","2023-02-07T03:08:26.812Z",0.1933
"goodjudgmentopen-2617","2023-02-08T03:08:10.246Z",0.1931
"goodjudgmentopen-2617","2023-02-09T03:08:26.412Z",0.1929
"goodjudgmentopen-2617","2023-02-10T03:08:33.823Z",0.1927
"goodjudgmentopen-2617","2023-02-11T03:09:26.300Z",0.1925
"goodjudgmentopen-2617","2023-02-25T19:39:45.713Z",0.183
"goodjudgmentopen-2617","2023-02-26T03:08:19.477Z",0.1807
"goodjudgmentopen-2617","2023-02-27T03:08:58.395Z",0.1799
"goodjudgmentopen-2617","2023-02-28T03:10:39.398Z",0.1729
"goodjudgmentopen-2617","2023-03-01T03:11:35.130Z",0.1681
"goodjudgmentopen-2617","2023-03-02T03:10:42.005Z",0.1604
"goodjudgmentopen-2617","2023-03-03T03:10:08.996Z",0.1597
"goodjudgmentopen-2617","2023-03-04T03:10:38.144Z",0.1521
"goodjudgmentopen-2617","2023-03-06T18:19:27.234Z",0.1515
"goodjudgmentopen-2617","2023-03-07T03:10:31.608Z",0.1483
"goodjudgmentopen-2617","2023-03-08T03:12:45.719Z",0.1343
"goodjudgmentopen-2617","2023-03-09T03:11:09.228Z",0.1307
"goodjudgmentopen-2617","2023-03-10T03:11:03.582Z",0.1295
"goodjudgmentopen-2617","2023-03-11T03:11:52.853Z",0.1291
"goodjudgmentopen-2617","2023-03-12T03:11:10.559Z",0.1255
"goodjudgmentopen-2617","2023-03-13T03:11:09.445Z",0.1197
"goodjudgmentopen-2617","2023-03-14T03:11:00.929Z",0.1173
"goodjudgmentopen-2617","2023-03-16T03:10:30.254Z",0.1178
"goodjudgmentopen-2617","2023-03-17T03:10:46.144Z",0.1179
"goodjudgmentopen-2617","2023-03-18T03:10:22.010Z",0.1233
"goodjudgmentopen-2617","2023-03-19T03:09:46.478Z",0.1243
"goodjudgmentopen-2617","2023-03-20T03:09:38.023Z",0.1235
"goodjudgmentopen-2617","2023-03-21T03:09:46.445Z",0.1203
"goodjudgmentopen-2617","2023-03-22T03:10:29.270Z",0.1215
"goodjudgmentopen-2617","2023-03-23T03:09:32.058Z",0.1197
"goodjudgmentopen-2617","2023-03-24T03:09:49.881Z",0.1158
"goodjudgmentopen-2617","2023-03-25T03:09:55.093Z",0.1142
"goodjudgmentopen-2617","2023-03-26T03:10:08.408Z",0.1204
"goodjudgmentopen-2617","2023-03-27T03:09:36.636Z",0.1197
"goodjudgmentopen-2617","2023-03-28T03:10:00.286Z",0.1061
"goodjudgmentopen-2617","2023-03-29T03:10:44.095Z",0.1061
"goodjudgmentopen-2617","2023-03-30T03:10:03.700Z",0.1039
"goodjudgmentopen-2617","2023-03-31T03:10:27.410Z",0.1039
"goodjudgmentopen-2617","2023-04-01T03:10:44.426Z",0.1021
"goodjudgmentopen-2617","2023-04-02T03:09:36.215Z",0.1016
"goodjudgmentopen-2617","2023-04-03T03:09:59.538Z",0.1015
"goodjudgmentopen-2617","2023-04-04T03:09:20.687Z",0.0995
"goodjudgmentopen-2617","2023-04-05T03:09:17.130Z",0.1045
"goodjudgmentopen-2617","2023-04-06T03:09:06.014Z",0.1043
"goodjudgmentopen-2617","2023-04-07T03:09:04.005Z",0.1047
"goodjudgmentopen-2617","2023-04-08T03:09:13.398Z",0.1045
"goodjudgmentopen-2617","2023-04-09T03:09:16.790Z",0.1032
"goodjudgmentopen-2617","2023-04-10T03:08:51.387Z",0.1042
"goodjudgmentopen-2617","2023-04-11T03:09:18.699Z",0.1035
