"id","time","probability"
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-05T08:48:39.569Z",0.16734372661620728
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-06T08:49:50.634Z",0.3499999999999996
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-07T08:47:22.986Z",0.3099999999999999
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-08T04:57:23.348Z",0.43999999999999945
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-09T08:31:27.396Z",0.39415303101690946
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-10T08:30:09.447Z",0.4015123114342964
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-11T05:51:00.499Z",0.44449027933739904
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-12T06:01:23.796Z",0.4147038888274726
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-13T06:01:12.683Z",0.5
"manifold-JxcpJTGSurSdSMlFxYhL","2023-07-14T06:02:22.812Z",0.4629867697917725
"metaculus-14259","2023-01-23T06:38:22.839Z",0.6
"metaculus-14259","2023-01-24T06:40:23.611Z",0.6
"metaculus-14259","2023-01-25T06:41:00.870Z",0.6
"metaculus-14259","2023-01-26T06:43:37.614Z",0.6
"metaculus-14259","2023-01-27T06:39:05.251Z",0.6
"metaculus-14259","2023-01-28T06:44:33.358Z",0.6
"metaculus-14259","2023-01-29T06:42:21.634Z",0.59
"metaculus-14259","2023-01-30T06:48:27.599Z",0.591
"metaculus-14259","2023-01-31T06:47:18.854Z",0.591
"metaculus-14259","2023-02-01T06:54:02.801Z",0.591
"metaculus-14259","2023-02-02T07:30:31.749Z",0.59
"metaculus-14259","2023-02-03T06:58:54.326Z",0.57
"metaculus-14259","2023-02-04T06:55:31.090Z",0.57
"metaculus-14259","2023-02-05T06:51:48.378Z",0.57
"metaculus-14259","2023-02-06T06:53:29.067Z",0.558
"metaculus-14259","2023-02-07T07:00:21.076Z",0.57
"metaculus-14259","2023-02-08T06:49:53.183Z",0.57
"metaculus-14259","2023-02-09T06:53:04.857Z",0.57
"metaculus-14259","2023-02-10T07:02:07.516Z",0.57
"metaculus-14259","2023-02-11T06:53:10.128Z",0.57
"metaculus-14259","2023-02-12T06:46:31.740Z",0.57
"metaculus-14259","2023-02-13T07:02:17.158Z",0.57
"metaculus-14259","2023-02-14T07:01:42.115Z",0.56
"metaculus-14259","2023-02-15T07:09:24.133Z",0.56
"metaculus-14259","2023-02-16T06:53:21.373Z",0.56
"metaculus-14259","2023-02-17T06:41:40.981Z",0.56
"metaculus-14259","2023-02-18T06:52:22.704Z",0.56
"metaculus-14259","2023-02-19T06:47:14.341Z",0.57
"metaculus-14259","2023-02-20T06:52:03.612Z",0.57
"metaculus-14259","2023-02-21T07:02:50.508Z",0.57
"metaculus-14259","2023-02-22T08:38:07.059Z",0.57
"metaculus-14259","2023-02-23T08:37:40.035Z",0.57
"metaculus-14259","2023-02-24T07:16:14.099Z",0.57
"metaculus-14259","2023-02-25T07:22:51.867Z",0.57
"metaculus-14259","2023-02-26T07:34:37.229Z",0.57
"metaculus-14259","2023-02-27T07:25:43.680Z",0.57
"metaculus-14259","2023-02-28T07:27:41.252Z",0.57
"metaculus-14259","2023-03-01T08:02:05.669Z",0.58
"metaculus-14259","2023-03-02T08:34:42.318Z",0.58
"metaculus-14259","2023-03-03T07:34:14.981Z",0.58
"metaculus-14259","2023-03-04T07:36:44.198Z",0.58
"metaculus-14259","2023-03-05T07:23:41.608Z",0.58
"metaculus-14259","2023-03-06T07:27:58.082Z",0.58
"metaculus-14259","2023-03-07T07:46:40.954Z",0.58
"metaculus-14259","2023-03-08T07:41:38.341Z",0.57
"metaculus-14259","2023-03-09T07:39:48.004Z",0.57
"metaculus-14259","2023-03-10T07:49:14.076Z",0.57
"metaculus-14259","2023-03-11T07:49:10.278Z",0.57
"metaculus-14259","2023-03-12T07:48:31.510Z",0.58
"metaculus-14259","2023-03-13T07:39:53.243Z",0.58
"metaculus-14259","2023-03-14T08:00:17.830Z",0.58
"metaculus-14259","2023-03-16T08:19:34.176Z",0.57
"metaculus-14259","2023-03-17T07:58:00.551Z",0.57
"metaculus-14259","2023-03-18T08:04:07.362Z",0.57
"metaculus-14259","2023-03-19T07:58:28.722Z",0.57
"metaculus-14259","2023-03-20T08:08:57.264Z",0.6
"metaculus-14259","2023-03-21T08:12:02.801Z",0.6
"metaculus-14259","2023-03-22T07:29:43.029Z",0.6
"metaculus-14259","2023-03-23T08:08:31.425Z",0.6
"metaculus-14259","2023-03-24T08:00:03.273Z",0.6
"metaculus-14259","2023-03-25T08:12:05.479Z",0.6
"metaculus-14259","2023-03-26T06:14:08.916Z",0.6
"metaculus-14259","2023-03-27T09:02:24.387Z",0.6
"metaculus-14259","2023-03-28T08:17:21.499Z",0.6
"metaculus-14259","2023-03-29T08:04:07.379Z",0.6
"metaculus-14259","2023-03-30T08:18:46.903Z",0.6
"metaculus-14259","2023-03-31T08:36:50.561Z",0.57
"metaculus-14259","2023-04-01T08:42:59.730Z",0.57
"metaculus-14259","2023-04-02T09:13:45.972Z",0.57
"metaculus-14259","2023-04-03T08:29:57.969Z",0.57
"metaculus-14259","2023-04-04T08:40:11.646Z",0.57
"metaculus-14259","2023-04-05T08:25:10.791Z",0.58
"metaculus-14259","2023-04-06T08:08:31.321Z",0.58
"metaculus-14259","2023-04-07T10:15:10.779Z",0.57
"metaculus-14259","2023-04-08T10:01:50.382Z",0.6
"metaculus-14259","2023-04-09T07:33:54.173Z",0.6
"metaculus-14259","2023-04-10T08:14:35.933Z",0.6
"metaculus-14259","2023-04-11T08:16:17.173Z",0.6
"metaculus-14259","2023-04-12T08:11:39.164Z",0.6
