"id","time","probability"
"insight-224920","2023-06-23T09:48:35.935Z",0.10400314334861216
"insight-224920","2023-06-24T07:55:12.536Z",0.11418583454354266
"insight-224920","2023-06-25T07:47:39.614Z",0.18128252384140608
"insight-224920","2023-06-26T07:47:44.403Z",0.15
"insight-224920","2023-06-27T07:40:40.691Z",0.15
"insight-224920","2023-06-30T07:48:05.525Z",0.127377316424817
"insight-224920","2023-07-01T08:48:03.550Z",0.127377316424817
"insight-224920","2023-07-02T09:00:59.287Z",0.127377316424817
"insight-224920","2023-07-03T08:47:32.982Z",0.0856278057171229
"insight-224920","2023-07-04T09:59:10.484Z",0.1106238981080611
"insight-224920","2023-07-05T08:46:34.308Z",0.1106238981080611
"insight-224920","2023-07-06T08:48:26.626Z",0.1106238981080611
"insight-224920","2023-07-07T08:46:34.244Z",0.1106238981080611
"goodjudgmentopen-2657","2023-01-20T21:55:38.137Z",0.7203
"goodjudgmentopen-2657","2023-01-21T03:08:01.157Z",0.7203
"goodjudgmentopen-2657","2023-01-22T03:07:39.663Z",0.7104
"goodjudgmentopen-2657","2023-01-23T03:07:47.857Z",0.7087
"goodjudgmentopen-2657","2023-01-24T03:08:10.846Z",0.7092
"goodjudgmentopen-2657","2023-01-25T03:07:31.121Z",0.7042
"goodjudgmentopen-2657","2023-01-26T03:07:35.368Z",0.7031
"goodjudgmentopen-2657","2023-01-27T03:07:22.076Z",0.71
"goodjudgmentopen-2657","2023-01-28T03:08:29.457Z",0.7062
"goodjudgmentopen-2657","2023-01-29T03:07:37.690Z",0.71
"goodjudgmentopen-2657","2023-01-30T03:07:46.628Z",0.71
"goodjudgmentopen-2657","2023-01-31T03:08:18.562Z",0.7151
"goodjudgmentopen-2657","2023-02-01T03:07:59.168Z",0.7187
"goodjudgmentopen-2657","2023-02-02T03:08:21.386Z",0.72
"goodjudgmentopen-2657","2023-02-03T03:08:22.967Z",0.73
"goodjudgmentopen-2657","2023-02-04T03:08:29.158Z",0.72
"goodjudgmentopen-2657","2023-02-05T03:08:57.692Z",0.72
"goodjudgmentopen-2657","2023-02-06T03:08:10.048Z",0.7269
"goodjudgmentopen-2657","2023-02-07T03:08:26.811Z",0.73
"goodjudgmentopen-2657","2023-02-08T03:08:10.246Z",0.728
"goodjudgmentopen-2657","2023-02-09T03:08:26.412Z",0.7381
"goodjudgmentopen-2657","2023-02-10T03:08:33.823Z",0.7407
"goodjudgmentopen-2657","2023-02-11T03:09:26.300Z",0.74
"goodjudgmentopen-2657","2023-02-25T19:39:45.713Z",0.79
"goodjudgmentopen-2657","2023-02-26T03:08:19.477Z",0.79
"goodjudgmentopen-2657","2023-02-27T03:08:58.394Z",0.79
"goodjudgmentopen-2657","2023-02-28T03:10:39.398Z",0.8
"goodjudgmentopen-2657","2023-03-01T03:11:35.129Z",0.8
"goodjudgmentopen-2657","2023-03-02T03:10:42.005Z",0.8
"goodjudgmentopen-2657","2023-03-03T03:10:08.996Z",0.8
"goodjudgmentopen-2657","2023-03-04T03:10:38.144Z",0.8
"goodjudgmentopen-2657","2023-03-06T18:19:27.232Z",0.8098
"goodjudgmentopen-2657","2023-03-07T03:10:31.607Z",0.82
"goodjudgmentopen-2657","2023-03-08T03:12:45.719Z",0.82
"goodjudgmentopen-2657","2023-03-09T03:11:09.228Z",0.82
"goodjudgmentopen-2657","2023-03-10T03:11:03.582Z",0.82
"goodjudgmentopen-2657","2023-03-11T03:11:52.853Z",0.83
"goodjudgmentopen-2657","2023-03-12T03:11:10.559Z",0.83
"goodjudgmentopen-2657","2023-03-13T03:11:09.445Z",0.83
"goodjudgmentopen-2657","2023-03-14T03:11:00.929Z",0.83
"goodjudgmentopen-2657","2023-03-16T03:10:30.254Z",0.8323
"goodjudgmentopen-2657","2023-03-17T03:10:46.144Z",0.8325
"goodjudgmentopen-2657","2023-03-18T03:10:22.009Z",0.84
"goodjudgmentopen-2657","2023-03-19T03:09:46.478Z",0.84
"goodjudgmentopen-2657","2023-03-20T03:09:38.023Z",0.83
